member_id,member_external_id,first_name,last_name,dob,gender,state,ssn_masked
1,MBR000001,Member001,Last110,1987-10-03,M,FL,899-**-****
2,MBR000002,Member002,Last66,1970-05-03,M,VA,975-**-****
3,MBR000003,Member003,Last103,1979-11-16,F,SC,624-**-****
4,MBR000004,Member004,Last79,1971-01-06,M,TN,912-**-****
5,MBR000005,Member005,Last58,2008-05-25,F,NC,410-**-****
6,MBR000006,Member006,Last69,2006-06-15,F,NC,929-**-****
7,MBR000007,Member007,Last51,1978-07-10,F,FL,563-**-****
8,MBR000008,Member008,Last2,1975-09-03,F,FL,951-**-****
9,MBR000009,Member009,Last5,1981-09-20,F,NC,294-**-****
10,MBR000010,Member010,Last4,2003-03-12,F,FL,896-**-****
11,MBR000011,Member011,Last57,1970-08-21,M,GA,705-**-****
12,MBR000012,Member012,Last30,1997-02-03,F,FL,755-**-****
13,MBR000013,Member013,Last1,1978-04-26,M,VA,778-**-****
14,MBR000014,Member014,Last84,1982-10-24,F,VA,384-**-****
15,MBR000015,Member015,Last120,2002-02-26,M,FL,960-**-****
16,MBR000016,Member016,Last33,2008-04-17,F,TN,422-**-****
17,MBR000017,Member017,Last37,1980-11-27,F,FL,130-**-****
18,MBR000018,Member018,Last99,2013-06-28,F,FL,210-**-****
19,MBR000019,Member019,Last109,1985-06-25,M,NC,397-**-****
20,MBR000020,Member020,Last3,1983-07-19,M,NC,967-**-****
21,MBR000021,Member021,Last27,1973-01-05,F,SC,153-**-****
22,MBR000022,Member022,Last91,1963-09-12,M,VA,506-**-****
23,MBR000023,Member023,Last73,2008-09-03,M,NC,744-**-****
24,MBR000024,Member024,Last35,1992-10-07,F,TN,444-**-****
25,MBR000025,Member025,Last43,1968-06-22,F,GA,115-**-****
26,MBR000026,Member026,Last18,2013-07-06,M,NC,352-**-****
27,MBR000027,Member027,Last8,1973-06-09,F,NC,576-**-****
28,MBR000028,Member028,Last88,1997-02-12,M,SC,672-**-****
29,MBR000029,Member029,Last66,2013-08-28,F,VA,295-**-****
30,MBR000030,Member030,Last83,1991-07-24,F,VA,492-**-****
31,MBR000031,Member031,Last54,1983-05-07,F,VA,317-**-****
32,MBR000032,Member032,Last111,2008-06-08,F,GA,922-**-****
33,MBR000033,Member033,Last27,1987-03-31,M,NC,291-**-****
34,MBR000034,Member034,Last83,2004-05-08,M,FL,690-**-****
35,MBR000035,Member035,Last19,1971-11-02,F,NC,318-**-****
36,MBR000036,Member036,Last2,1964-09-19,M,GA,891-**-****
37,MBR000037,Member037,Last50,1976-10-28,M,GA,175-**-****
38,MBR000038,Member038,Last27,1974-05-18,F,NC,696-**-****
39,MBR000039,Member039,Last77,1982-02-06,F,NC,477-**-****
40,MBR000040,Member040,Last59,1997-09-20,M,FL,230-**-****
41,MBR000041,Member041,Last18,1998-04-15,M,FL,987-**-****
42,MBR000042,Member042,Last81,2005-08-11,M,SC,257-**-****
43,MBR000043,Member043,Last105,2010-03-08,M,SC,725-**-****
44,MBR000044,Member044,Last25,1962-07-23,F,TN,262-**-****
45,MBR000045,Member045,Last50,1974-10-07,F,TN,594-**-****
46,MBR000046,Member046,Last7,1974-02-19,F,VA,206-**-****
47,MBR000047,Member047,Last66,1976-11-14,F,NC,361-**-****
48,MBR000048,Member048,Last91,1995-01-14,F,TN,501-**-****
49,MBR000049,Member049,Last106,1999-05-20,M,VA,710-**-****
50,MBR000050,Member050,Last67,1972-01-17,M,GA,279-**-****
51,MBR000051,Member051,Last30,1988-05-03,F,SC,590-**-****
52,MBR000052,Member052,Last28,2002-03-01,F,GA,308-**-****
53,MBR000053,Member053,Last35,2007-05-27,F,NC,521-**-****
54,MBR000054,Member054,Last8,1993-03-25,M,SC,147-**-****
55,MBR000055,Member055,Last48,1980-08-31,F,GA,643-**-****
56,MBR000056,Member056,Last47,1979-10-31,F,NC,241-**-****
57,MBR000057,Member057,Last85,1961-02-22,M,GA,850-**-****
58,MBR000058,Member058,Last5,1982-06-25,F,FL,118-**-****
59,MBR000059,Member059,Last90,2006-01-26,M,GA,419-**-****
60,MBR000060,Member060,Last77,2006-03-17,F,NC,751-**-****
61,MBR000061,Member061,Last9,1984-09-23,F,VA,848-**-****
62,MBR000062,Member062,Last18,1962-11-28,M,GA,174-**-****
63,MBR000063,Member063,Last70,1987-10-17,F,VA,476-**-****
64,MBR000064,Member064,Last95,1960-04-29,F,TN,820-**-****
65,MBR000065,Member065,Last46,1993-01-10,F,GA,186-**-****
66,MBR000066,Member066,Last112,1967-09-05,M,NC,977-**-****
67,MBR000067,Member067,Last111,1990-05-31,M,NC,611-**-****
68,MBR000068,Member068,Last85,1975-10-22,F,FL,491-**-****
69,MBR000069,Member069,Last2,1988-11-30,M,FL,723-**-****
70,MBR000070,Member070,Last12,1964-11-23,F,NC,754-**-****
71,MBR000071,Member071,Last113,1993-11-21,F,GA,526-**-****
72,MBR000072,Member072,Last120,2006-08-01,M,VA,852-**-****
73,MBR000073,Member073,Last60,1970-03-21,M,VA,958-**-****
74,MBR000074,Member074,Last97,1960-12-28,F,FL,626-**-****
75,MBR000075,Member075,Last77,1977-03-21,F,GA,189-**-****
76,MBR000076,Member076,Last30,1994-08-25,M,NC,815-**-****
77,MBR000077,Member077,Last100,1969-08-19,F,VA,729-**-****
78,MBR000078,Member078,Last115,2012-10-08,M,GA,111-**-****
79,MBR000079,Member079,Last19,1993-08-05,M,GA,794-**-****
80,MBR000080,Member080,Last22,1982-03-09,F,FL,871-**-****
81,MBR000081,Member081,Last120,2009-06-21,M,TN,552-**-****
82,MBR000082,Member082,Last42,1973-11-07,M,SC,514-**-****
83,MBR000083,Member083,Last82,1989-04-23,M,SC,541-**-****
84,MBR000084,Member084,Last50,2004-06-30,F,SC,324-**-****
85,MBR000085,Member085,Last18,1970-10-19,M,SC,237-**-****
86,MBR000086,Member086,Last108,1964-11-12,M,GA,969-**-****
87,MBR000087,Member087,Last9,1960-11-10,F,TN,383-**-****
88,MBR000088,Member088,Last58,1992-06-02,F,NC,582-**-****
89,MBR000089,Member089,Last107,2007-12-08,M,SC,523-**-****
90,MBR000090,Member090,Last67,1993-06-28,M,TN,605-**-****
91,MBR000091,Member091,Last108,1980-05-04,M,TN,962-**-****
92,MBR000092,Member092,Last10,1995-04-18,M,GA,948-**-****
93,MBR000093,Member093,Last112,1964-06-17,F,GA,722-**-****
94,MBR000094,Member094,Last91,2011-02-26,F,TN,387-**-****
95,MBR000095,Member095,Last84,1968-11-24,M,GA,910-**-****
96,MBR000096,Member096,Last18,2010-05-07,F,TN,514-**-****
97,MBR000097,Member097,Last4,1964-10-17,M,SC,887-**-****
98,MBR000098,Member098,Last100,1988-01-24,M,SC,244-**-****
