golden_customer_id,match_group_id,first_name,last_name,email,phone,address,city,state,zip,golden_created_date,golden_last_updated,snapshot_date
1,1,Alex,Anderson,alex.anderson194@email.com,431-478-1665,4518 Hill St,Durham,VA,28010,2023-06-09,2023-10-08,2025-01-01
2,2,Alex,Anderson,alex.anderson206@email.com,768-611-2065,5710 Cedar St,Durham,NC,27232,2024-05-20,2025-01-13,2025-01-01
3,3,Alex,Anderson,alex.anderson262@email.com,(480) 723-7861,1377 Oak St,Raleigh,GA,27511,2024-09-21,2025-08-10,2025-01-01
4,4,Alex,Anderson,alex.anderson50@gmail.com,(496) 372-2065,1706 Main St,Jacksonville,NC,28736,2024-12-28,2025-06-10,2025-01-01
5,5,Alex,Brown,alex.brown330@email.com,(510) 823-9593,1728 Oak St,Greensboro,NC,28704,2024-05-02,2024-11-06,2025-01-01
6,6,Alex,Brown,alex.brown347@email.com,202-587-5296,7219 Oak Street,Wilmington,GA,27773,2025-04-15,2025-07-07,2025-01-01
7,7,Alex,Christian,alex.christian177@email.com,(526) 661-9995,4054 Maple St,Raleigh,GA,27940,2024-06-04,2024-11-14,2025-01-01
8,8,Alex,Christian,alex.christian296@email.com,(701) 318-4877,5547 Hill St,Wilmington,GA,27710,2024-01-07,2024-07-27,2025-01-01
9,9,Alex,Christian,alex.christian53@email.com,552-276-9890,2456 Cedar St,Fayetteville,NC,27666,2023-03-14,2023-11-11,2025-01-01
10,10,Alex,Johnson,alex.johnson189@email.com,(921) 388-4928,9161 Oak Street,Jacksonville,SC,28448,2023-11-12,2024-09-23,2025-01-01
11,11,Alex,Johnson,alex.johnson336@gmail.com,(956) 254-4841,179 Pine St,Greensboro,SC,27217,2023-02-03,2023-02-06,2025-01-01
12,12,Alex,Miller,alex.miller165@email.com,(997) 973-5790,5272 Cedar Street,Wilmington,GA,27383,2023-10-22,2024-06-11,2025-01-01
13,13,Alex,Miller,alex.miller34@email.com,(440) 372-2470,7722 Pine St,Raleigh,GA,28863,2023-10-30,2024-06-27,2025-01-01
14,14,Alex,Moore,alex.moore212@email.com,(328) 957-8933,4074 Maple St,Jacksonville,GA,28987,2024-06-29,2024-12-25,2025-01-01
15,15,Alex,Moore,alex.moore212@gmail.com,(328) 957-8933,4074 Maple St,Jacksonville,GA,28987,2024-09-30,2025-03-19,2025-01-01
16,16,Alex,Moore,alex.moore284@email.com,(746) 980-2267,5464 Cedar St,Greensboro,GA,27388,2023-11-14,2024-05-08,2025-01-01
17,17,Alex,Taylor,alex.taylor316@email.com,(865) 700-4220,5656 Pine St,Fayetteville,NC,28738,2024-11-15,2025-04-15,2025-01-01
18,18,Alex,Taylor,alex.taylor64@email.com,(296) 656-2902,8407 Cedar St,Wilmington,GA,28582,2024-03-10,2024-11-30,2025-01-01
19,19,Alex,Wilson,alex.wilson311@email.com,(953) 693-3313,2840 Oak St,Wilmington,NC,28621,2023-11-28,2024-08-06,2025-01-01
20,20,Avery,Anderson,avery.anderson14@email.com,(238) 314-8953,2359 Hill St,Greensboro,GA,28993,2024-02-17,2025-01-11,2025-01-01
21,21,Avery,Anderson,avery.anderson300@email.com,(294) 925-9441,7989 Oak St,Jacksonville,VA,28302,2023-07-07,2024-04-23,2025-01-01
22,22,Avery,Brown,avery.brown261@email.com,(492) 473-9322,8060 Pine St,Wilmington,GA,28960,2024-10-14,2024-11-28,2025-01-01
23,23,Avery,Brown,avery.brown261@gmail.com,492-473-9322,8060 Pine St,Wilmington,GA,28960,2024-02-07,2024-11-09,2025-01-01
24,24,Avery,Brown,avery.brown291@email.com,(676) 557-4076,5345 Hill St,Jacksonville,GA,27187,2023-10-07,2024-09-12,2025-01-01
25,25,Avery,Christian,avery.christian200@email.com,(409) 536-3174,570 Hill St,Fayetteville,VA,27307,2024-05-22,2025-04-30,2025-01-01
26,26,Avery,Christian,avery.christian295@email.com,(954) 358-2402,6254 Pine Street,Charlotte,SC,28658,2023-06-04,2023-08-23,2025-01-01
27,27,Avery,Johnson,avery.johnson128@email.com,(852) 229-3987,151 Cedar St,Charlotte,NC,28357,2024-03-16,2024-11-11,2025-01-01
28,28,Avery,Johnson,avery.johnson324@email.com,815-573-3925,8647 Hill St,Wilmington,VA,27645,2025-04-16,2025-05-27,2025-01-01
29,29,Avery,Miller,avery.miller101@email.com,(342) 992-3525,4930 Maple St,Charlotte,SC,28392,2023-07-01,2024-06-29,2025-01-01
30,30,Avery,Miller,avery.miller141@email.com,(891) 687-1252,5168 Maple St,Charlotte,SC,27147,2023-05-21,2023-11-08,2025-01-01
31,31,Avery,Miller,avery.miller270@email.com,(252) 745-8879,5604 Pine St,Wilmington,VA,27520,2024-06-18,2025-04-09,2025-01-01
32,32,Avery,Miller,avery.miller281@email.com,(495) 921-1836,653 Oak St,Jacksonville,VA,27501,2023-07-05,2023-07-06,2025-01-01
33,33,Avery,Moore,avery.moore121@email.com,930-946-7220,1911 Hill Street,Charlotte,SC,28247,2025-03-11,2025-10-29,2025-01-01
