source_customer_id,source_system,true_golden_id,first_name,last_name,email,phone,address,city,state,zip,updated_date,email_norm,phone_norm,name_norm,addr_norm
1,crm,1,Jamie,Moore,jamie.moore1@email.com,315-982-7436,2407 Hill St,Raleigh,SC,28946,2025-09-15,jamie.moore1@email.com,3159827436,jamie moore,2407 hill st
2,billing,1,Jaime,Moore,jamie.moore1@email.com,(315) 982-7436,2407 Hill St,Raleigh,SC,28946,2025-03-19,jamie.moore1@email.com,3159827436,jaime moore,2407 hill st
3,support,1,Jaime,Moore,jamie.moore1@email.com,(315) 982-7436,2407 Hill St,Raleigh,SC,28946,2025-07-06,jamie.moore1@email.com,3159827436,jaime moore,2407 hill st
4,crm,2,Christopher,Taylor,chris.taylor2@email.com,437-928-3287,2515 Hill St,Raleigh,NC,27279,2023-11-23,chris.taylor2@email.com,4379283287,christopher taylor,2515 hill st
5,billing,2,Chris,Taylor,chris.taylor2@email.com,(437) 928-3287,2515 Hill Street,Raleigh,NC,27279,2023-10-22,chris.taylor2@email.com,4379283287,chris taylor,2515 hill st
6,support,2,Christopher,Taylor,chris.taylor2@email.com,(437) 928-3287,2515 Hill St,Raleigh,NC,27279,2023-12-22,chris.taylor2@email.com,4379283287,christopher taylor,2515 hill st
7,crm,3,Jordan,Taylor,jordan.taylor3@email.com,(949) 658-9619,6859 Oak Street,Greensboro,NC,27241,2025-01-05,jordan.taylor3@email.com,9496589619,jordan taylor,6859 oak st
8,billing,3,Jordan,Taylor,jordan.taylor3@gmail.com,(949) 658-9619,6859 Oak Street,Greensboro,NC,27241,2025-05-17,jordan.taylor3@gmail.com,9496589619,jordan taylor,6859 oak st
9,support,3,Jordan,Taylor,jordan.taylor3@email.com,949-658-9619,6859 Oak St,Greensboro,NC,27241,2025-04-08,jordan.taylor3@email.com,9496589619,jordan taylor,6859 oak st
10,support,3,Jordan,Taylor,jordan.taylor3@email.com,949-658-9619,6859 Oak St,Greensboro,NC,27241,2025-02-23,jordan.taylor3@email.com,9496589619,jordan taylor,6859 oak st
11,crm,4,Jaime,Wilson,jamie.wilson4@email.com,(549) 403-4373,5511 Cedar St,Fayetteville,SC,27430,2025-05-02,jamie.wilson4@email.com,5494034373,jaime wilson,5511 cedar st
